"#Df","LogLik","Df","Chisq","Pr(>Chisq)","var","prob","out"
38,-1751.31001718449,1,150.483531499348,1.35916552766133e-34,"age",1.35916552766133e-34,"lact_ind"
38,-1805.203950028,1,42.6956658123281,6.3953835656502e-11,"age2",6.3953835656502e-11,"lact_ind"
38,-1821.49165345614,1,10.1202589560548,0.00146648394075204,"gender_cat",0.00146648394075204,"lact_ind"
39,-1813.09901880289,2,26.9055282625454,1.43727135937572e-06,"education_cat",1.43727135937572e-06,"lact_ind"
39,-1825.02281530874,2,3.05793525084391,0.216759328665465,"religion_cat",0.216759328665465,"lact_ind"
38,-1784.86448726508,1,83.3745913381754,6.78890040968998e-20,"school_enrolment_cat",6.78890040968998e-20,"lact_ind"
41,-1620.2731171564,4,412.557331555526,5.38106605017616e-88,"occupation_cat",5.38106605017616e-88,"lact_ind"
38,-1826.47923540596,1,0.145095056408991,0.703267471873729,"owning_home",0.703267471873729,"lact_ind"
38,-1826.45091355796,1,0.201738752412894,0.653321020578546,"home_quality_score",0.653321020578546,"lact_ind"
38,-1826.55149762693,1,0.000570614476600895,0.980942314601481,"n_people",0.980942314601481,"lact_ind"
38,-1826.40268488736,1,0.298196093614024,0.585015524227324,"basic_hygiene",0.585015524227324,"lact_ind"
38,-1826.2096451761,1,0.68427551613604,0.408118341968568,"water_cat",0.408118341968568,"lact_ind"
38,-1826.4858989172,1,0.131768033939352,0.716605878349364,"water_pur",0.716605878349364,"lact_ind"
38,-1826.53607325797,1,0.0314193523813628,0.859308057358577,"openfreshw",0.859308057358577,"lact_ind"
38,-1825.49458791385,1,2.11439004062595,0.145920182034049,"water_improved_hh",0.145920182034049,"lact_ind"
38,-1826.53606880712,1,0.0314282540934983,0.859288336280736,"sanitation_improved",0.859288336280736,"lact_ind"
38,-1824.05163818471,1,5.00028949891157,0.0253430793391513,"contamination",0.0253430793391513,"lact_ind"
38,-1824.1597925006,1,4.78398086713378,0.0287256412367891,"dist_site",0.0287256412367891,"lact_ind"
38,-1823.82204476392,1,5.45947634049162,0.0194624786208884,"dist_site_villc",0.0194624786208884,"lact_ind"
38,-1825.78418583643,1,1.53519419546274,0.215334559447168,"dist_latrine",0.215334559447168,"lact_ind"
38,-1826.47287526477,1,0.157815338786804,0.691175897620244,"dist_tap",0.691175897620244,"lact_ind"
42,-1824.51671154279,5,4.07014278275255,0.539361988423727,"site_type",0.539361988423727,"lact_ind"
37,-1826.55178293416,0,0,1,"site_type_vill",1,"lact_ind"
37,-1826.55178293416,0,0,1,"nsites",1,"lact_ind"
38,-1826.55059038706,1,0.00238509421660638,0.961048855798953,"nsites_in_buffer",0.961048855798953,"lact_ind"
38,-1823.87246166777,1,5.35864253279806,0.0206198180321737,"site_invillage",0.0206198180321737,"lact_ind"
37,-1826.55178293416,0,0,1,"prev_cat_vill",1,"lact_ind"
