"#Df","LogLik","Df","Chisq","Pr(>Chisq)","var","prob","out"
38,-1790.30569240746,1,38.733744654864,4.85738569970188e-10,"age",4.85738569970188e-10,"kk_yes_no"
38,-1781.75087302392,1,55.843383421934,7.84804266136913e-14,"age2",7.84804266136913e-14,"kk_yes_no"
38,-1805.4615198207,1,8.42208982837474,0.0037068947798679,"gender_cat",0.0037068947798679,"kk_yes_no"
39,-1788.26414668897,2,42.8168360918407,5.04013508357176e-10,"education_cat",5.04013508357176e-10,"kk_yes_no"
39,-1809.62564419018,2,0.0938410894282242,0.954163207889033,"religion_cat",0.954163207889033,"kk_yes_no"
38,-1792.9732070884,1,33.3987152929744,7.50735407558085e-09,"school_enrolment_cat",7.50735407558085e-09,"kk_yes_no"
38,-1809.36694780731,1,0.611233855171122,0.434323619762731,"lact_ind_dom",0.434323619762731,"kk_yes_no"
38,-1807.68017818983,1,3.98477309012833,0.0459132843886773,"lact_ind_occ",0.0459132843886773,"kk_yes_no"
38,-1808.10091262652,1,3.1433042167323,0.0762392116963155,"lact_ind_rec",0.0762392116963155,"kk_yes_no"
38,-1808.53150389706,1,2.28212167565698,0.130872732843154,"lact_freq",0.130872732843154,"kk_yes_no"
38,-1809.28872421569,1,0.767681038400042,0.38093539903118,"lact_hrs",0.38093539903118,"kk_yes_no"
38,-1806.15572491563,1,7.03367963852452,0.00799908263432601,"nlact_ind",0.00799908263432601,"kk_yes_no"
41,-1791.45088151749,4,36.4433664347944,2.34538932041259e-07,"occupation_cat",2.34538932041259e-07,"kk_yes_no"
38,-1809.62695199404,1,0.0912254816985296,0.762624952349989,"owning_home",0.762624952349989,"kk_yes_no"
38,-1809.65253367565,1,0.0400621184853662,0.841359175224768,"home_quality_score",0.841359175224768,"kk_yes_no"
38,-1809.67000744907,1,0.00511457163747764,0.942986905265994,"n_people",0.942986905265994,"kk_yes_no"
38,-1806.28645585938,1,6.77221775102998,0.00925877110107732,"basic_hygiene",0.00925877110107732,"kk_yes_no"
38,-1808.62990679237,1,2.08531588505002,0.148721455606131,"water_cat",0.148721455606131,"kk_yes_no"
38,-1808.28518212883,1,2.77476521211338,0.0957606977099756,"water_pur",0.0957606977099756,"kk_yes_no"
38,-1809.62453086823,1,0.0960677333159765,0.756600536267679,"openfreshw",0.756600536267679,"kk_yes_no"
38,-1809.57156090398,1,0.20200766182279,0.65310517629964,"water_improved_hh",0.65310517629964,"kk_yes_no"
38,-1805.78332063552,1,7.77848819874953,0.0052872025028695,"sanitation_improved",0.0052872025028695,"kk_yes_no"
38,-1809.65647734072,1,0.0321747883485841,0.857644578254289,"contamination",0.857644578254289,"kk_yes_no"
38,-1806.48838799075,1,6.36835348828072,0.0116173337527728,"dist_site",0.0116173337527728,"kk_yes_no"
38,-1809.6295261129,1,0.0860772439868924,0.769224651831034,"dist_site_villc",0.769224651831034,"kk_yes_no"
38,-1807.58497084565,1,4.17518777848863,0.0410200168161084,"dist_latrine",0.0410200168161084,"kk_yes_no"
38,-1809.63802319842,1,0.0690830729440677,0.792676532157711,"dist_tap",0.792676532157711,"kk_yes_no"
42,-1803.91531215592,5,11.5145051579429,0.042081050348726,"site_type",0.042081050348726,"kk_yes_no"
37,-1809.67256473489,0,0,1,"site_type_vill",1,"kk_yes_no"
37,-1809.67256473489,0,0,1,"nsites",1,"kk_yes_no"
38,-1809.62313554155,1,0.0988583866760564,0.7532039395166,"nsites_in_buffer",0.7532039395166,"kk_yes_no"
38,-1809.64440121819,1,0.0563270333964283,0.812398331446343,"site_invillage",0.812398331446343,"kk_yes_no"
37,-1809.67256473489,0,0,1,"prev_cat_vill",1,"kk_yes_no"
